Target Image: blackhole
Final Best MSE: 643.20
--------------------------------
Evolutionary History for blackhole
=========================================
Generation 0 | MSE: 5807.06 | Genotype: 
Layer 2 -> c: 0.044-0.474i | Offset X/Y: 0.00/-0.43 | Zoom: 0.46
Layer 3 -> c: -0.130+0.028i | Offset X/Y: 0.05/-0.15 | Zoom: 0.61
Layer 4 -> c: -1.000+1.000i | Offset X/Y: 2.11/0.02 | Zoom: 0.23
Layer 5 -> c: -0.238+0.030i | Offset X/Y: -0.23/-0.54 | Zoom: 0.10
Layer 6 -> c: -0.463-0.753i | Offset X/Y: 0.76/-0.23 | Zoom: 0.23

Generation 40 | MSE: 1173.91 | Genotype: 
Layer 1 -> c: -0.396-0.407i | Offset X/Y: 0.56/2.63 | Zoom: 0.10
Layer 2 -> c: -0.120+0.278i | Offset X/Y: 0.07/-0.16 | Zoom: 0.45
Layer 3 -> c: 0.186+0.290i | Offset X/Y: 0.13/0.25 | Zoom: 0.40
Layer 4 -> c: -1.000+0.703i | Offset X/Y: 2.41/-0.43 | Zoom: 0.10
Layer 5 -> c: -1.000+0.247i | Offset X/Y: 0.62/-1.24 | Zoom: 0.10
Layer 6 -> c: 1.000+0.888i | Offset X/Y: 2.04/0.11 | Zoom: 0.21

Generation 41 | MSE: 1106.82 | Genotype: 
Layer 1 -> c: -0.782+0.728i | Offset X/Y: -0.15/2.71 | Zoom: 0.18
Layer 2 -> c: -0.345-0.192i | Offset X/Y: -0.26/-0.28 | Zoom: 0.43
Layer 3 -> c: -0.032-0.028i | Offset X/Y: 0.05/-0.23 | Zoom: 0.41
Layer 4 -> c: -1.000+0.678i | Offset X/Y: 2.17/-0.45 | Zoom: 0.26
Layer 5 -> c: -0.523-0.038i | Offset X/Y: 0.07/-0.65 | Zoom: 0.10
Layer 6 -> c: -0.097-0.331i | Offset X/Y: 2.66/-0.83 | Zoom: 0.10

Generation 42 | MSE: 1106.82 | Genotype: 
Layer 1 -> c: -0.782+0.728i | Offset X/Y: -0.15/2.71 | Zoom: 0.18
Layer 2 -> c: -0.345-0.192i | Offset X/Y: -0.26/-0.28 | Zoom: 0.43
Layer 3 -> c: -0.032-0.028i | Offset X/Y: 0.05/-0.23 | Zoom: 0.41
Layer 4 -> c: -1.000+0.678i | Offset X/Y: 2.17/-0.45 | Zoom: 0.26
Layer 5 -> c: -0.523-0.038i | Offset X/Y: 0.07/-0.65 | Zoom: 0.10
