Target Image: helix_nebula
Final Best MSE: 338.06
--------------------------------
Evolutionary History for helix_nebula
=========================================
Generation 0 | MSE: 3269.90 | Genotype: 
Layer 3 -> c: -0.365+0.676i | Offset X/Y: 0.85/-0.35 | Zoom: 0.34
Layer 4 -> c: -0.754+0.877i | Offset X/Y: -0.18/-0.19 | Zoom: 0.79
Layer 5 -> c: 0.621-0.375i | Offset X/Y: -0.18/-0.23 | Zoom: 0.40
Layer 6 -> c: 0.229-0.167i | Offset X/Y: -0.32/-0.40 | Zoom: 0.10

Generation 33 | MSE: 723.79 | Genotype: 
Layer 1 -> c: 0.221-1.000i | Offset X/Y: 0.23/-0.08 | Zoom: 0.51
Layer 2 -> c: -0.564+0.112i | Offset X/Y: -0.08/-0.07 | Zoom: 0.44
Layer 3 -> c: -0.365+0.676i | Offset X/Y: 0.85/-0.35 | Zoom: 0.34
Layer 4 -> c: -0.754+0.877i | Offset X/Y: -0.18/-0.19 | Zoom: 0.79
Layer 5 -> c: 0.621-0.375i | Offset X/Y: -0.18/-0.23 | Zoom: 0.40
Layer 6 -> c: 0.229-0.167i | Offset X/Y: -0.32/-0.40 | Zoom: 0.10

Generation 34 | MSE: 723.79 | Genotype: 
Layer 1 -> c: 0.221-1.000i | Offset X/Y: 0.23/-0.08 | Zoom: 0.51
Layer 2 -> c: -0.564+0.112i | Offset X/Y: -0.08/-0.07 | Zoom: 0.44
Layer 3 -> c: -0.365+0.676i | Offset X/Y: 0.85/-0.35 | Zoom: 0.34
Layer 4 -> c: -0.754+0.877i | Offset X/Y: -0.18/-0.19 | Zoom: 0.79
Layer 5 -> c: 0.621-0.375i | Offset X/Y: -0.18/-0.23 | Zoom: 0.40
Layer 6 -> c: 0.229-0.167i | Offset X/Y: -0.32/-0.40 | Zoom: 0.10

Generation 35 | MSE: 723.79 | Genotype: 
Layer 1 -> c: 0.221-1.000i | Offset X/Y: 0.23/-0.08 | Zoom: 0.51
Layer 2 -> c: -0.564+0.112i | Offset X/Y: -0.08/-0.07 | Zoom: 0.44
Layer 3 -> c: -0.365+0.676i | Offset X/Y: 0.85/-0.35 | Zoom: 0.34
Layer 4 -> c: -0.754+0.877i | Offset X/Y: -0.18/-0.19 | Zoom: 0.79
Layer 5 -> c: 0.621-0.375i | Offset X/Y: -0.18/-0.23 | Zoom: 0.40
Layer 6 -> c: 0.229-0.167i | Offset X/Y: -0.32/-0.40 | Zoom: 0.10

Generation 36 | MSE: 723.79 | Genotype: 
Layer 1 -> c: 0.221-1.000i | Offset X/Y: 0.23/-0.08 | Zoom: 0.51
Layer 2 -> c: -0.564+0.112i | Offset X/Y: -0.08/-0.07 | Zoom: 0.44
Layer 3 -> c: -0.365+0.676i | Offset X/Y: 0.85/-0.35 | Zoom: 0.34
Layer 4 -> c: -0.754+0.877i | Offset X/Y: -0.18/-0.19 | Zoom: 0.79
Layer 5 -> c: 0.621-0.375i | Offset X/Y: -0.18/-0.23 | Zoom: 0.40
Layer 6 -> c: 0.229-0.167i | Offset X/Y: -0.32/-0.40 | Zoom: 0.10

Generation 37 | MSE: 686.23 | Genotype: 
Layer 1 -> c: -0.349-0.582i | Offset X/Y: 0.23/0.58 | Zoom: 0.66
Layer 2 -> c: -0.309-0.135i | Offset X/Y: -0.49/-0.31 | Zoom: 0.42
Layer 3 -> c: -0.234+0.987i | Offset X/Y: -0.18/-0.35 | Zoom: 0.18
Layer 4 -> c: -1.000+0.588i | Offset X/Y: -0.31/0.18 | Zoom: 0.84
Layer 5 -> c: 0.814+0.041i | Offset X/Y: -0.29/-0.17 | Zoom: 0.43
Layer 6 -> c: -0.483-0.238i | Offset X/Y: -0.28/-0.55 | Zoom: 0.36

Generation 38 | MSE: 686.23 | Genotype: 
Layer 1 -> c: -0.349-0.582i | Offset X/Y: 0.23/0.58 | Zoom: 0.66
Layer 2 -> c: -0.309-0.135i | Offset X/Y: -0.49/-0.31 | Zoom: 0.42
Layer 3 -> c: -0.234+0.987i | Offset X/Y: -0.18/-0.35 | Zoom: 0.18
Layer 4 -> c: -1.000+0.588i | Offset X/Y: -0.31/0.18 | Zoom: 0.84
Layer 5 -> c: 0.814+0.041i | Offset X/Y: -0.29/-0.17 | Zoom: 0.43
Layer 6 -> c: -0.483-0.238i | Offset X/Y: -0.28/-0.55 | Zoom: 0.36

Generation 39 | MSE: 686.23 | Genotype: 
Layer 1 -> c: -0.349-0.582i | Offset X/Y: 0.23/0.58 | Zoom: 0.66
Layer 2 -> c: -0.309-0.135i | Offset X/Y: -0.49/-0.31 | Zoom: 0.42
Layer 3 -> c: -0.234+0.987i | Offset X/Y: -0.18/-0.35 | Zoom: 0.18
Layer 4 -> c: -1.000+0.588i | Offset X/Y: -0.31/0.18 | Zoom: 0.84
